questions,answers
asking about the control measure to control fruit rot in bottle gourd.,suggested him to spray malathion @2ml/lit of water
asking about productio of one plant of blackpepper,told him 5-6kg/year
asking about vitamin suppliment for bottle gourd.,suggested to spray mahaphal @ 2 ml/liter of water as vitamin suppliment for bottle gourd.
asking about the fertilizer doses in coconut,"told him to apply 750 gm urea , 1250 gm ssp , 900 gm mop / plant + ""multiplex coconut special @ 200 gm / plant by ring method at the distance of 1.5 m from the tree"
asking about the nutreint management in orange,told him to spray tracel 2 @ 2gm / l of water
asking about control of fruit drop in orange,told him spray tracel 2g/lit of water
asking about the seed treatment in chillis,told him to treat the seeds with captaf @ 2gm / kg of seeds
asking about the fertilizer doses of pea,"told him to apply 5 kg urea , 40 kg ssp , 2 kg mop / bigha 
seed rate - 8 kg / bigha"
asking about the control of insects in pumpkin,told him to spray desis @ 2ml / l of water
asking about growth hormone in tea,told him spray bipul 2ml/lit of water
asking about the control measure wilt bacterial in tomato,suggested him to spray streptomycine @1gm/ 10 lit of water
query  regarding retainsion of placenta,exapar  1 ph -- 60-80 ml orally as directed
query regardingdecrease milk production,ostocalcuium & vimeral orally as directed  papaya & smooth gourd cn be given as dietary supplement
asking about the control of fruit fly in pumpkin,told him to spray desis @ 2ml / l of water
asking about application of vitamin,"recommended to spray crop booster ""green harvest"" 2 2ml/l water at 10 days interval till fruiting of the whole plant"
asking about the control measure of fruit rot in bottle gourd,suggested him to spray contaf @1ml/lit of water
fertilzer requirement in mature arecanut,"apply urea 200 gm , ssp 400 gm , mop 250 gm , borax 25 gm and dried cowdung 5 kg per plant twice in a year namely in march - april and september -october month"
asking about the dhaincha in the paddy field,told him to apply 5 kg dhaincha / bigha
query regarding infection in some broiler,tetracycline powder 2-3 gm / lits of water
query regarding propagation of citrus,advised to prepare seeding cutting during the month of march and treat the cutting with rootex and treat soil with formaldehyde @ 40ml/lit of water
fertilzer dose for coconut aged more than 6 years,"dose- urea 350 gm + 500gm rock phosphat + 650gm mop + 25gm borax.
apply in ring method"
asking about cultural practices of cauliflower,"recommended to farmer that
seed rate- 100 g per bigha 
spacing- 45 cm x 50 cm 
variety- snow ball
fertilizer- urea- 17 kg ssp- 22 kg mop-8 kg per bigha"
query regarding a pregnent she goat,"infuse normal saline , dexona 1 ml as directed"
call related to agriculture,ask to inform after sometime for the answer
asking about control measure of caterpillar,recommended to spray chloropyriphos 20 ec (tricel) @ 2 ml per lit of water
asking about the control measure for fruit and shoot borer in brinjal.,recommended to spray decis 2.8 ec @ 1.5 ml/lit water.
query regarding fertilizer dose in mustered,"advice him to apply urea @ 12 kg,ssp 30 kg,mop 3kg,borax 2kg/bighas of cultivated land"
asking about sivsagar district kvk,suggested him details to visit najira place of sivsagor
asking about the control measure for damping off of cabbage.,recommended to spray blitox 50 or blue copper @ 1.5 gram/lit water.
query regarding some piglet,inject imferon  as directed
asking about the remedy against leaf yellowing.,recommended to spray npk @ 100 gram/10 lit water mix with tracel @ 20 gram.
asking about the control measure for damping off of cabbage.,recommended to spray roshan plus or contaf @ 1.5 ml/lit water.
asking for fertiliser application in coconut,"recommended him to apply 750 gram urea, 1250 gram ssp, 875 gram mop and 50 gram borax mixing with 15 kg dried cowdung by ring method twice in a year. once in sept-oct and others in march-april"
asking about the control measure blight in tomato,told him to spray redomil gold @ 2gm / l of water
asking about control measure of fruit fly in brinjal,told him spray malathion 2ml/lit of water
asking about the control measure of bacterial wilt in pumpkin,suggested him to spray streptomycine 21gm/ 10 lit of water
asking for control of damping off,recommended him to drench the soil with captan @ 2 gram per litre of water
asking about control measure of bacterial wilt,recommended to spray saaf @ 2 g per lit of water
asking about the machinery,told him to visit kvk
asking about cultural practices of potato,"recommended to farmer that 
seed rate - 7-8 kg per kotha
seed treatment- treat the seed with indofil m-45 @ 3 g per kg seed for fungal infection
spacing- 20 cm x 45 cm
aphids- aphids can be controlled by spraying  rogor or dimethoate 30 ec 2 ml/lit.
blight- can be controlled by spraying indofil m-45 @ 2 g per lit of water"
asking about the control of wilting in bottle gourd,told him to spray cristocycline @ 1gm / 10 l of water
asking about the fertilizer dose of cabbage,"suggested him to apply urea- 36 kg, ssp- 50 kg, mop- 13 kg per bigha"
asking to control diseases in gourds,suggested him to spray saaf @ 2gm/lit of water
asking about the nutrient management in cabbages,told him to spray boron @ 2gm / l of water
asking about the fertilizer  doses in rice,"told him to apply 29 kg urea , 50 kg ssp , 13 kg mop / bigha, half of urea and full doses of ssp and mop are applied as basal and another half of urea are applied after 30 days of planting"
micro nutrient deficiency.,advised to spray tracel-2 @ 2 gram/ liter water.
asking about control measure of little leaf of ciilli,told him spray rogor 2ml/lit of water
asking to increase fruit size in cabbage,suggested him to spray planofix@ 2gm/4.5lit of water
asking about fertilizer dose,recommended to apply urea-17 ssp-23 kg mop-8 kg per bigha
call related to agriculture,ask to inform later after sometime for the answer
query regarding chronic  cough of a capra hircus,cotrimal bolus 1tab mix with caflon powder orally as directed  inject enrocin 15 ml dexona 1 ml as directed
asking for boro dhan seeds,"suggested him to consult regional agricultural research station (rars), titabor or dist. kvk or district agricultural office through village level extension worker(vlew)"
asking about the available of  seeds of orange,told him to visit kvk first
asking about the cultivation practices in carrot,"suggested about the recommended fertilizer dose like-urea@17 kilogram/bigha,ssp@25 kilogram/bigha,mop@25 kilogram/bigha"
asking to control fruit drop in arecanut,suggested him to apply borax @4ogm/tree around the base of the tree
asking about control measure of blight,recommended to spray saaf @ 2 g per lit of water
asking about control measure of catterpiler,told him spray malathion 2ml/lit of water
asking about control measure of bacterial blight in tomato,told him spray streptocyclin 1g/lit of water
asking about damping off in cabbage,recommended to spray indofil m 45 @ 2gm/l water
asking about the control measure root rot in cabbage,suggested him to spray contaf @1ml/ lit of water
problem of fungal wilt in chilli,advised him to apply bavistin or amister @ 2 gm / litre of water
asking about control measure of leaf blight,recommended to spray saaf @ 2 g per lit of water
asking about the fertilizer doses in chillis,"told him to apply 35 kg urea , 50 kg ssp , 13 kg mop / bigha"
query regarding to increase flower in gourds,suggested him to spray planofix @ 2gm/5lit of water or triacontanol @ 1ml/lit of water for 2-3 times
asking about treatment of fever in piglet.,sugggested to administer calpol @ 3 ml twice daily for the treatment of fever.
asking about the spacing of carrot,"told him to seed rate - depth of seeds should be 1.5cm  
spacing - ( row to row *plant to plant -30 cm * 10 cm )"
asking about root rot in bottle gourd,told him spray 3 times roshonplus or contaf 2ml/lit of water at 5 days interval
asking about control measure of root rot in bettelvine,told him spray contaf or roshonplus 2ml/lit of water
query regarding bottle gourd fruit rot,advised to apply bevistin/blitox @ 2gm/lit
asking about the fertilizer doses in chillis,"told hmm to apply 35 kg urea , 50 kg ssp , 13 kg mop / bigha . half of urea and full doses of ssp and mop are applied as basal and another half of urea are applied after 30 days at top dressing."
asking about veterinary quires,expert not available
asking about dairy farming.,explain in details about dairy farming.
asking that how to eliminate bitter quality in fruits of ridge gourd.,suggested to treat the seeds with 80 ppm succinic acid followed by two sprays one at five leaf stage and another at first pistillate flowering stage
asking about the nutrient management in cauliflower,suggested him to spray planofix @2gm/5lit of water
asking about the planting procedure for beet root and its spacing.,recommended to sow seeds in nursery and transplant at age of 35-40 days at spacing row distance 20 cm and planting distance 15 cm.
asking about the control measure wilt in brinjal,suggested him to spray streptomycine @1gm/ 10 lit of water
asking fertiliser dose of cabbage,"suggested him to apply urea @ 24kg, ssp@ 42kg mop @ 11kg/bigha.also aaply borax @ 2kg/bigha and malathion 5% dust @ 2kg/bigha"
asking about the control of fruit fly in rogor,told him to spray  rogor 2ml / l of water
asking about control measure of blight,recommended to spray indomfil m-45 @ 2 g per lit of water
asking about seed rate of boro rice,told him 5kg for 5 seed bed
asking about the fertilizer dose of bottle gourd,"suggested him to apply urea- 14 kg, ssp- 32 kg and mop- 10 kg per bigha"
