questions,answers,clean_question,clean_answer
query regarding root rot,advised to apply antracol/contaf @ 3gm/lit,What is root rot?,Advised to apply antracol/contaf @ 3gm/lit
asking about the control measure for for cut worm in paddy,recommended to spray tricel 20 ec @ 2 ml/lit water or karate @ 1.5 ml/lit water.,What is the control measure for for cut worm in paddy?,You should spray tricel 20 ec @ 2 ml/lit water or karate @ 1.5 ml/lit water.
asking about the control-measure of three days sickness disease in bull,advice to inject melonex plus injection @ 7 ml along with anistamin injection @ 4-5 ml by intramuscular route,What is the control-measure of three days sickness disease in bull?,Advice to inject melonex plus injection @ 7 ml along with anistamin injection @ 4-5 ml by intramuscular route
asking sowing time of citrus,suggested him that the planting time is from may-aug,Asking sowing time of citrus?,Suggested him that the planting time is from may-aug
asking var. for leafy vegetable,"suggested him some var. like sen kaampa, dharwad-1 and dharwad-2",Asking var. for leafy vegetable?,"Suggested him some var. like sen kaampa, dharwad-1 and dharwad-2"
asking about the control measure of leaf curl in chilli,suggested him to spray rogor @2ml/lit of water,What is the control measure of leaf curl in chilli?,You can spray rogor @2ml/lit of water
bacterial wilt of brinjal.,advised to spray streptomycin @ 1 gram / 10  liter water,Bacterial wilt of brinjal.?,Advised to spray streptomycin @ 1 gram / 10 liter water
asking about powdery mildew in hibiscus,told him spray captaf 1ml/lit of water,What is powdery mildew in hibiscus?,Told him spray captaf 1ml/lit of water
asking about caseworm problem in rice,suggested to spray rocket or tricel 20ec @ 2ml per litre of water,What is caseworm problem in rice?,Suggested to spray rocket or tricel 20ec @ 2ml per litre of water
asking about the control of yellow stem borer in rice,told him to spray chlropyriphos @2ml / l of water,What is the control of yellow stem borer in rice?,Told him to spray chlropyriphos @2ml / l of water
"asking about the varieties of radhish , cabbage , cauliflower and knol khol","cauliflower - early kunwari , pusa , katki,pusa deepali 
cabbage - golden acre , pride of india , pusa mukta 
knolkhol- white vienna
radish -pusa deshi , pusa chetki , pusa himani","What is the varieties of radhish , cabbage , cauliflower and knol khol?","Cauliflower - early kunwari , pusa , katki,pusa deepali cabbage - golden acre , pride of india , pusa mukta knolkhol- white vienna radish -pusa deshi , pusa chetki , pusa himani"
asking about the control measure of leaf curl in chilli,suggested him to spray rogor @2ml/lit of water,What is the control measure of leaf curl in chilli?,You can spray rogor @2ml/lit of water
asking about leaf eating caterpillar in brinjal,recommended to spray tricel @ 2ml/l water for 3 days at 3 days interval,What is leaf eating caterpillar in brinjal?,You should spray tricel @ 2ml/l water for 3 days at 3 days interval
asking about the control measure for the damage caused by stem borer.,recommended to spray tricel 20 ec or classic 20 ec @ 2 ml/lit water.,What is the control measure for the damage caused by stem borer.?,You should spray tricel 20 ec or classic 20 ec @ 2 ml/lit water.
asking about the control measure for fungal wilt in bottle gourd,recommended to spray roshan plus(hexaconazole)@ 1.5 ml/lit water.,What is the control measure for fungal wilt in bottle gourd?,You should spray roshan plushexaconazole@ 1.5 ml/lit water.
asking about control measure of rice hispa,suggested him to spray tricel 20ec @ 2gm/lit of water,What is control measure of rice hispa?,You can spray tricel 20ec @ 2gm/lit of water
asking about control measure of rice hispa,told him spray tricel 20 ec 2ml/lit of water,What is control measure of rice hispa?,Told him spray tricel 20 ec 2ml/lit of water
asking for control of army worm,recommended him to apply malathion 5% dust surrounding the paddy field,Asking for control of army worm?,Recommended him to apply malathion 5 dust surrounding the paddy field
psuedostem borer in banana.,advised to spray malathion 50 ec or killer  @ 2 ml/ liter water.,Psuedostem borer in banana.?,Advised to spray malathion 50 ec or killer @ 2 ml/ liter water.
asking about the control of curling of leaf in  cauliflower,told him to spray rogor @ 1ml / l of water,What is the control of curling of leaf in cauliflower?,Told him to spray rogor @ 1ml / l of water
asking about coconut planting,"told him pit size-1mx1mx1m
pit filling-filled up with mixture of top soil,20kg compost and 100g of 5% malathion dust up to 2/3 of pit",What is coconut planting?,"Told him pit size-1mx1mx1m pit filling-filled up with mixture of top soil,20kg compost and 100g of 5 malathion dust up to 2/3 of pit"
asking about control measure of rice hispa,told him spray tricel 20ec 2ml/lit of water,What is control measure of rice hispa?,Told him spray tricel 20ec 2ml/lit of water
asking about government scheme,suggested him details about scheme,What is government scheme?,Suggested him details about scheme
asking about control measure of swarming catterpiller,told him spray decis 3ml/lit of water,What is control measure of swarming catterpiller?,Told him spray decis 3ml/lit of water
asking about nutrient and seed company,"told him apply urea 12kg,ssp 50kg,mop 13kg and after 30 days spray npk 10g/lit of water
company name -syngenta and east west",What is nutrient and seed company?,"Told him apply urea 12kg,ssp 50kg,mop 13kg and after 30 days spray npk 10g/lit of water company name -syngenta and east west"
asking about government scheme,suggested him details about government scheme,What is government scheme?,Suggested him details about government scheme
asking animal scheme,suggested him to consult district kvk or agril. office,Asking animal scheme?,You can consult district kvk or agril. office
rice stem borer.,advised to spray tricel-20 or classic- 20 @ 2 ml/ liter water.,Rice stem borer.?,Advised to spray tricel-20 or classic- 20 @ 2 ml/ liter water.
asking about the control measure for stem borer in paddy,recommended to spray tricel 20 ec @ 2 ml/lit water.,What is the control measure for stem borer in paddy?,You should spray tricel 20 ec @ 2 ml/lit water.
asking about fertiliser dose in cabbage,suggested him to apply 33kg urea 50kg ssp and 17kg mop,What is fertiliser dose in cabbage?,You can apply 33kg urea 50kg ssp and 17kg mop
asking variety of papaya,suggested him variety like halflong and coorg honey dew and consult syngenta seed company,Asking variety of papaya?,Suggested him variety like halflong and coorg honey dew and consult syngenta seed company
asking fertiliser dose in cabbage,"suggested him to apply urea @ 24kg ssp @ 50kg and mop @ 11kg/bigha, also apply malathion 5% dust @ 2-3kg/bigha",Asking fertiliser dose in cabbage?,"You can apply urea @ 24kg ssp @ 50kg and mop @ 11kg/bigha, also apply malathion 5 dust @ 2-3kg/bigha"
asking about control measure of caterpillar,recommended to spray rogor @ 2 ml per lit of water,What is control measure of caterpillar?,You should spray rogor @ 2 ml per lit of water
asking about nutrient management,recommended to spray bipul @ 2 ml per lit of water,What is nutrient management?,You should spray bipul @ 2 ml per lit of water
call related to agriculture,ask to inform later for the reqired  answer,Call related to agriculture?,Please inform later for the reqired answer
asking for control of leaf eating caterpillar,recommended him to spray malathion 50 ec @ 2 ml per litre of water,Asking for control of leaf eating caterpillar?,Recommended him to spray malathion 50 ec @ 2 ml per litre of water
asking about the control of rice hispa,told him to spray tricel 20 ec @ 2ml / l of water,What is the control of rice hispa?,Told him to spray tricel 20 ec @ 2ml / l of water
asking about the control measure for stem borer,recommended to spray tricel 20 ec @ 2 ml/lit water.,What is the control measure for stem borer?,You should spray tricel 20 ec @ 2 ml/lit water.
asking about control measure of stem borer,recommended to spray chloropyriphos 20 ec @ 2 ml per lit of water,What is control measure of stem borer?,You should spray chloropyriphos 20 ec @ 2 ml per lit of water
asking about control measure of  brown spot,recommended to spray saaf @ 2 g per lit of water,What is control measure of brown spot?,You should spray saaf @ 2 g per lit of water
asking about control measure of damping off in cabbage,suggested him to drench the soil with captan/captaf @ 2gm/lit of water,What is control measure of damping off in cabbage?,You can drench the soil with captan/captaf @ 2gm/lit of water
asking about the control measure for stem borer in paddy,recommended to spray tricel 20 ec @ 2 ml /lit water.,What is the control measure for stem borer in paddy?,You should spray tricel 20 ec @ 2 ml /lit water.
asking about control measure of leaf curl in chilly,suggested him to spray methyl demeton 25ec @ 2.5ml/lit of water,What is control measure of leaf curl in chilly?,You can spray methyl demeton 25ec @ 2.5ml/lit of water
asking about control measure of yellow stem borer,suggested him to spray tricel-20ec 2ml/lit of water,What is control measure of yellow stem borer?,You can spray tricel-20ec 2ml/lit of water
asking about variety of cabbage,recommended to used variety pride of india golden acre,What is variety of cabbage?,You should used variety pride of india golden acre
asking about control measure of wilt,recommended to spray agrimycine @ 1 g per 10 lit of water + saaf @ 2 g per lit of water at 7 days interval,What is control measure of wilt?,You should spray agrimycine @ 1 g per 10 lit of water  saaf @ 2 g per lit of water at 7 days interval
asking about cultural practices of chili,"recommended to farmer
seed rate- 100 g per bigha
spacing - 60 cm x 45 cm 
fertilizer- urea- 15 kg ssp- 19 kg mop- 9 kg per bigha 
variety- select disease free seed from good sources
seed treatment- treat the seed with saaf @ 2 g pe 100 g seed",What is cultural practices of chili?,You should farmer seed rate- 100 g per bigha spacing - 60 cm x 45 cm fertilizer- urea- 15 kg ssp- 19 kg mop- 9 kg per bigha variety- select disease free seed from good sources seed treatment- treat the seed with saaf @ 2 g pe 100 g seed
